Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
BDSI,BioDelivery Sciences,Healthcare,Biotechnology,308.0920,283.3440,None,None,4.4835,15.6392
BEAT,BioTelemetry,Healthcare,Diagnostics & Research,338.0302,346.0712,30.6173,10.8316,1.9071,4.7309
BEBE,bebe stores,Consumer Cyclical,Apparel Stores,32.7236,-9.2724,None,0.4151,0.0866,0.2439
BECN,Beacon Roofing Supply,Basic Materials,Building Materials,1883.6635,2117.3675,22.4201,8.7244,0.4842,2.2097
BEE,Strategic Hotels,Real Estate,REIT - Hotel & Motel,3974.6509,5610.6209,15.4835,16.8689,2.8574,2.3919
BEL,Belmond,Consumer Cyclical,Lodging,1217.9957,1643.6667,67.5333,13.7086,2.1576,1.7887
BELFB,Bel Fuse,Technology,Electronic Components,225.4079,346.8349,None,None,None,0.9709
BERY,Berry Plastics Group,Consumer Cyclical,Packaging & Containers,4362.8760,7819.8760,16.2400,7.3514,0.6473,None
BETR,Amplify Snack Brands,Consumer Defensive,Packaged Foods,903.0000,1101.2160,None,None,None,87.3223
BFAM,Bright Horizons Family,Consumer Cyclical,Personal Services,3902.1361,4823.9301,37.4215,17.6554,2.6826,5.4589
BFIN,BankFinancial,Financial Services,Savings & Cooperative Banks,263.6557,220.2337,29.2273,None,4.9906,1.2374
BFS,Saul Centers,Real Estate,REIT - Retail,1162.8200,2252.2300,18.7201,16.0260,5.6496,9.7660
BGC,General Cable,Industrials,Industrial Distribution,750.4293,1786.3293,13.8288,10.3316,0.1732,2.5533
BGCP,BGC Partners,Financial Services,Capital Markets,2312.5844,3107.0194,12.4527,6.9664,0.8704,4.3818
BGFV,Big 5 Sporting Goods,Consumer Cyclical,Specialty Retail,204.3201,263.7471,13.2102,4.7565,0.2010,1.0368
BGG,Briggs & Stratton,Industrials,Diversified Industrials,830.1032,1039.5182,14.6641,6.8143,0.4348,1.5570
BGS,B&G Foods,Consumer Defensive,Packaged Foods,2092.3791,3025.3021,23.6656,14.9545,2.3169,4.4833
BH,Biglari Holdings,Consumer Cyclical,Restaurants,752.8161,897.0781,None,None,None,1.5435
BHB,Bar Harbor Bankshares,Financial Services,Banks - Regional - US,209.9020,593.1720,None,None,None,1.3620
BHBK,Blue Hills Bancorp,Financial Services,Banks - Regional - US,428.1192,567.1392,77.6000,None,None,1.0503
BHE,Benchmark Electronics,Technology,Contract Manufacturers,1062.6669,600.5729,13.3101,3.7796,0.4182,0.8185
BHLB,Berkshire Hills Bancorp,Financial Services,Savings & Cooperative Banks,931.9506,2139.9906,14.4386,None,3.4000,1.0572
BID,Sothebys,Consumer Cyclical,Specialty Retail,1937.3843,2539.0553,15.0990,8.2935,2.0429,2.4612
BIG,Big Lots,Consumer Defensive,Discount Stores,2196.8139,2362.6509,14.9887,6.3468,0.4220,3.4297
BIOS,BioScrip,Healthcare,Medical Care,126.4956,545.9686,None,32.0843,0.1253,None
BJRI,BJ's Restaurants,Consumer Cyclical,Restaurants,1106.2167,1147.1447,27.4673,9.6754,1.2017,3.3158
BKE,Buckle,Consumer Cyclical,Apparel Stores,1476.8288,1334.5328,9.5392,4.8581,1.2995,3.7434
BKH,Black Hills,Utilities,Utilities - Diversified,1897.6373,3544.4933,14.1033,8.0925,1.2510,1.4742
BKMU,Bank Mutual,Financial Services,Savings & Cooperative Banks,341.1488,670.0898,24.1935,None,3.7530,1.2279
BKS,Barnes & Noble,Consumer Cyclical,Specialty Retail,974.6590,937.4650,21.1240,4.1374,0.2321,0.7282
BLBD,Blue Bird,Consumer Cyclical,Auto Manufacturers,217.8561,455.9601,None,None,None,None
BLCM,Bellicum Pharmaceuticals,Healthcare,Biotechnology,583.5542,470.3232,None,None,432.2624,3.5132
BLDR,Builders FirstSource,Basic Materials,Building Materials,1443.4250,3369.4230,37.2113,18.8584,0.2988,9.2814
BLKB,Blackbaud,Technology,Software - Application,2860.4371,3084.5501,51.5423,21.2742,4.4464,14.0240
BLMN,Bloomin Brands,Consumer Cyclical,Restaurants,2051.1609,3319.7229,13.5229,7.1745,0.4680,4.9993
BLMT,BSB Bancorp,Financial Services,Banks - Regional - US,205.3888,483.2898,None,None,None,1.4306
BLOX,Infoblox,Technology,Communication Equipment,939.7038,608.8678,None,42.1362,2.5375,3.4152
BLT,Blount International,Industrials,Tools & Accessories,262.4892,629.5082,8.9917,6.2389,0.3166,2.1889
BLX,Banco Latinoamericano,Financial Services,Banks - Regional - Latin America,1119.1868,3887.9758,10.5978,None,6.3231,1.1637
